Kehrichtsäcke	Unten links im Küchenbuffett
Kaffeepulver	Neuer Keller
Abwaschmittel (Nachfüllen)	Neuer Keller (Handy-Nachfüllbeutel
Film-Festplatte, 4GB	Estrichvorplatz, oben auf Einbauschränken
Velopumpe	Werkstatt
Brennsprit für Fonduecaquelon	Neuer Keller
Hauptwasserhahn	Neuer Keller, links unter Elektrotableau
Boilerschalter	Neuer Keller, am Elektrotableau
Popcorn-Maschine	Neuer Keller
Waffeleisen	Neuer Keller
Crêpe-Heizplatte	Neuer Keller
Brezeli-Eisen	Neuer Keller
Gugelhopfform	Auf Kachelofen
Backpulver	Teeschrank
Trockenhefe	Teeschrank
Vanillezucker	Teeschrank
Haferflocken	Neuer Keller
WC-Putzmittel	WC (Kästchen unter Lavabo)
Waschpulver	Badezimmer, Kästchen unter Lavabo
Zitronenpresse	Küchenbuffet unten
Zapfenzieher	Küchenbuffet, linke Schublade
Schwedenofenholz für Küche (33cm)	Vorderer Schwyygade
Kachelofenholz (50cm)	Vorderer Schwyygade
Esszimmeröfeliholz (25cm)	Scheithütte
Reibkäse	Tiefkühler
Flyer-Ladegerät	Werkstatt
Sauna-Duftöl	Sauna
Sprudelwasser-Maschine	Keller
Sprudelwasser Ersatzpatrone CO2	Vorderer alter Keller
Sonnenschirm	Veranda oder Werkstatt
Sonnenschirmständer	bei Sonnenschirm
Laufgitter	Estrichvorplatz
Stubenwagen	Weisses Zimmer, Abschluss
Hochstuhl	Abschluss mit Guggeere
Baby-Sachen	Bébé-Schrank
Papeterie (Couverts, Briefpapier)	Ofentreppe
Locher	Stubentischli
Bostitch	
Drucker	Neuer Keller
Druckerpatronen	Neuer Keller
Toaster	Esszimmer, rechter Schrank
Cornflex, Müesli	Esszimmer, rechter Schrank
Milchkessel	Vorderer alter Keller
Racletteofen	Neuer Keller
Multi-Tisch-Grill-Raclette-Ofen	Neuer Keller
Raclettepfännli	Neuer Keller
Eierbecher	
Teebeutel	Teeschrank
Mehl	Balkonzimmer, Kleiderschrank rechts
Zucker	Balkonzimmer, Kleiderschrank rechts
Rosinen, Weinbeeren	Neuer Keller
Schlafsäcke, wattiert	Weisses Zimmer, Schrank
Schlafsäcke, Leintuch	Neuer Keller
Sauna-Frotteemäntel	Neuer Keller
Molton, wasserdicht für Bettnässer	Neuer Keller
Nachtlicht für Kinder	Bubenzimmer, Nachttischschublade
Taschenlampen	
Föhn	Bad, WC
Wärmebett, elektrisch, unter Matratze	Neuer Keller
Wärmedecke, elektrisch	Neuer Keller
Sonnencrème	Bad, Schrank links
Hängematte	Werkstatt
Gartenschlauch	
Gartendusche	Sauna
Kinderbadewanne	
Kinder-Bedli	Werkstatt
Heizstrahler	Werkstatt
Aussen-Steckdosen	
Briefkastenschlüssel	Schlüsselbrett
Computersachen	Neuer Keller
Sonnendach-Zelt	Werkstatt
Sonnendach (an Balkon befestigt)	Werkstatt
Giireitsi (Schaukel)	Werkstatt oder Schuhkästchen
Gartenschlauch	
Brennsprit	Neuer Keller
Garten-Lampe	
Brotmaschine	Küchengestell
Brotmischung	
Beamer	Lusthaus, Schrank
4K-Bildschirm	
HD-Bildschirm	
Ersatz-Tastatur	Neuer Keller
Ersatz-Maus	Neuer Keller
Fadenmäher	Scheithütte
Fadenmäher-Ersatzfaden	
Benzin für Fadenmäher	Vorderer alter Keller
Aufblas-Sofa	Werkstatt
Zelt (2 Plätze)	Werkstatt
Briefmarken	
Haupt-Wasserhahn	
Araldit-Leim	
Papier-Leim	
Ersatz-Skihandschuhe	Werkstatt
Ersatz-Bergschuhe	Werkstatt
Ersatz-Sonnenbrillen	Balkonzimmer, weisse Kommode, oben rechts
Ersatz-Wollmützen	Werkstatt
Ersatz-Zahnbürsten	Geschnitztes Schränklein im WC-Vorraum
WC-Papier	Werkstatt
Wäscheständer	Alter Keller
Entfeuchter	Neuer Keller
WC-Putzmittel	WC
Schuhbürste	Werkstatt
Schuh-Wärmer-/Trockner	Werkstatt
Eis-Spikes für Schuhe	Werkstatt
Ersatz-Windjacke	Estrich-Vorraum, Schrank links
Ersatz-Schirme	Werkstatt
Ersatz-Veloschlüssel	
Milch-Liste zum Abkreuzen	
Feuerlöscher	Werkstatt
Feuerlöschdecke	Estrich, Etagère, in der Ecke 
Anzünd-Holzwollespindeln	Vorderer Schwyygade
Schnurknäuel	Hühnganger
Klebstreifen	
Isolierband	Werkstatt, Werkzeugschrank rechts
Ersatz-Taschenlampe	Kästchen oberhalb Treppe zur Werkstatt
Ersatz-Batterien	Kästchen oberhalb Treppe zur Werkstatt
Ersatz-Glühbirnen 24V	Werkstatt
Ersatzglühbirnen 230V	Werkstatt
LED-Lichtstrahler	Werkstatt
Halogen-Lichtstrahler	Werkstatt
Unkrautvertilger-Spray	Aussen beim Fensterchen neben Haustür
Unkrautvertilger-Konzentrat	
Mausköder	
Arzt-/Notfallnummern	Bad-/WC-Vorraum
Klavierschlüssel	Esszimmer, auf Etagère
Aufblasbett	Abschluss
Kindertrage	Werkstatt
Rucksäcke, klein	Werkstatt
Grosser Rucksack (Militär)	
Traggestell	Werkstatt
